track_uri,track_name,album_name,artist_name(s),release_date,duration_(ms),popularity,explicit,added_by,added_at,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,standardized_track_name,pianist,year,sonata,movement
spotify:track:0HXkeWXAYYPoR0wml4gtgu,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,320466,46,False,mikaylab.,2026-02-15T23:09:33Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.363,0.0029,8,-35.441,1,0.0534,0.995,0.898,0.113,0.157,96.774,4,"""Pathétique"", II.",Daniel Barenboim,1984.0,Pathétique,II
spotify:track:0U8s7QWZkYCKpvKZg69VfN,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": III. Rondo. Allegro",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,288266,45,False,mikaylab.,2026-02-15T23:09:33Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.3,0.0802,0,-24.716,0,0.0473,0.991,0.902,0.112,0.209,97.25,3,"""Pathétique"", III.",Daniel Barenboim,1984.0,Pathétique,III
spotify:track:630zE7N1xPxdK2Zz4S3rPA,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": I. Adagio sostenuto",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,403333,57,False,mikaylab.,2026-02-15T23:09:46Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.278,0.00245,1,-41.53,0,0.0497,0.995,0.881,0.114,0.293,139.161,3,"""Moonlight"", I.",Daniel Barenboim,1984.0,Moonlight,I
spotify:track:7lo7NTRhtbbiwKODiMRsR7,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": II. Allegretto",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,132933,46,False,mikaylab.,2026-02-15T23:09:46Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.539,0.0141,1,-30.148,1,0.0538,0.996,0.924,0.118,0.34,67.69,4,"""Moonlight"", II.",Daniel Barenboim,1984.0,Moonlight,II
spotify:track:2OQzVmgl8WoNEYDdOLSEOf,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": III. Presto agitato",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,461400,48,False,mikaylab.,2026-02-15T23:09:46Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.287,0.0855,6,-24.19,0,0.0481,0.992,0.888,0.105,0.114,156.795,4,"""Moonlight"", III.",Daniel Barenboim,1984.0,Moonlight,III
spotify:track:4GmS3dDhEiJRpqgsKZzC0N,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": I. Allegro con brio",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,691826,30,False,mikaylab.,2026-02-15T23:15:58Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.252,0.125,0,-22.925,1,0.0438,0.984,0.924,0.0825,0.126,77.43,4,"""Waldstein"", I.",Daniel Barenboim,1984.0,Waldstein,I
spotify:track:6Sl7pLlaDpgRYHKCj9ygQS,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": II. Introduzione. Adagio molto",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,278866,23,False,mikaylab.,2026-02-15T23:15:58Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.461,0.0012,5,-37.05,1,0.0688,0.992,0.882,0.0686,0.127,79.252,4,"""Waldstein"", II.",Daniel Barenboim,1984.0,Waldstein,II
spotify:track:6Zi3EhHKlDGD89MPkAZpID,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Beethoven: The Piano Sonatas,Ludwig van Beethoven;Daniel Barenboim,1984-01-01,681466,25,False,mikaylab.,2026-02-15T23:15:58Z,"klassiek,klassieke piano,kamermuziek,impressionisme,opera,concerto",Deutsche Grammophon (DG),0.289,0.0665,0,-22.047,1,0.0349,0.98,0.928,0.0702,0.057,91.038,4,"""Waldstein"", III.",Daniel Barenboim,1984.0,Waldstein,III
spotify:track:4FCsEWnYqN8DiCLGRnPaqP,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": I. Grave - Allegro di molto e con brio",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,530600,2,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.343,0.145,0,-21.957,0,0.0642,0.989,0.892,0.142,0.0832,167.112,4,"""Pathétique"", I.",Rudolf Buchbinder,1984.0,Pathétique,I
spotify:track:7Lkeq05R0PHLt77Pi6LtLF,"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique"": II. Adagio cantabile",Beethoven: Complete Piano Sonatas,Ludwig van Beethoven;Rudolf Buchbinder,1984-01-01,345866,21,False,mikaylab.,2026-02-15T23:33:50Z,"klassiek,klassieke piano,kamermuziek",Warner Classics,0.37,0.00602,8,-32.827,1,0.054,0.995,0.932,0.114,0.17,105.963,4,"""Pathétique"", II.",Rudolf Buchbinder,1984.0,Pathétique,II
